"cve_id","library","version","severity","cvss_score","cvss_vector","inclusion_type","phases_detectable","description","notes"
"CVE-2019-7317","libpng","1.6.34","MEDIUM","5.3","CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:N/A:H","source","1,2,3","png_image_free in png.c in libpng 1.6.x before 1.6.37 has a use-after-free because png_image_free_function is called under png_safe_execute.","Canonical GT v2 (2026-04-07)"
"CVE-2025-64505","libpng","1.6.34","MEDIUM","6.1","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H","source","1,2,3","LIBPNG is a reference library for use in applications that read, create, and manipulate PNG (Portable Network Graphics) raster image files. Prior to version 1.6.51, a heap buffer over-read vulnerabili","Canonical GT v2 (2026-04-07)"
"CVE-2025-64506","libpng","1.6.34","MEDIUM","6.1","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H","source","1,2,3","LIBPNG is a reference library for use in applications that read, create, and manipulate PNG (Portable Network Graphics) raster image files. From version 1.6.0 to before 1.6.51, a heap buffer over-read","Canonical GT v2 (2026-04-07)"
"CVE-2025-64720","libpng","1.6.34","HIGH","7.1","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H","source","1,2,3","LIBPNG is a reference library for use in applications that read, create, and manipulate PNG (Portable Network Graphics) raster image files. From version 1.6.0 to before 1.6.51, an out-of-bounds read v","Canonical GT v2 (2026-04-07)"
"CVE-2025-65018","libpng","1.6.34","HIGH","7.1","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:H","source","1,2,3","LIBPNG is a reference library for use in applications that read, create, and manipulate PNG (Portable Network Graphics) raster image files. From version 1.6.0 to before 1.6.51, there is a heap buffer ","Canonical GT v2 (2026-04-07)"
"CVE-2025-66293","libpng","1.6.34","HIGH","7.1","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H","source","1,2,3","LIBPNG is a reference library for use in applications that read, create, and manipulate PNG (Portable Network Graphics) raster image files. Prior to 1.6.52, an out-of-bounds read vulnerability in libp","Canonical GT v2 (2026-04-07)"
"CVE-2026-22801","libpng","1.6.34","MEDIUM","6.8","CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:H","source","1,2,3","LIBPNG is a reference library for use in applications that read, create, and manipulate PNG (Portable Network Graphics) raster image files. From 1.6.26 to 1.6.53, there is an integer truncation in the","Canonical GT v2 (2026-04-07)"
"CVE-2026-25646","libpng","1.6.34","HIGH","8.1","CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H","source","1,2,3","LIBPNG is a reference library for use in applications that read, create, and manipulate PNG (Portable Network Graphics) raster image files. Prior to 1.6.55, an out-of-bounds read vulnerability exists ","Canonical GT v2 (2026-04-07)"
"CVE-2018-25032","zlib","1.2.11","HIGH","7.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","source","1,2,3","zlib before 1.2.12 allows memory corruption when deflating (i.e., when compressing) if the input has many distant matches.","Canonical GT v2 (2026-04-07)"
"CVE-2022-37434","zlib","1.2.11","CRITICAL","9.8","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","source","1,2,3","zlib through 1.2.12 has a heap-based buffer over-read or buffer overflow in inflate in inflate.c via a large gzip header extra field. NOTE: only applications that call inflateGetHeader are affected. S","Canonical GT v2 (2026-04-07)"
